reported_PK,reporteddate,reportedhour,reportedday,reportedmonth,reportedyear
381,2015-01-10 05:00:00+00:00,5,10,1,2015
382,2015-01-16 05:00:00+00:00,5,16,1,2015
383,2015-01-08 05:00:00+00:00,5,8,1,2015
384,2015-01-19 05:00:00+00:00,5,19,1,2015
385,2015-01-31 05:00:00+00:00,5,31,1,2015
386,2015-01-25 05:00:00+00:00,5,25,1,2015
387,2015-01-20 05:00:00+00:00,5,20,1,2015
388,2015-01-26 05:00:00+00:00,5,26,1,2015
389,2015-01-24 05:00:00+00:00,5,24,1,2015
390,2015-01-28 05:00:00+00:00,5,28,1,2015
391,2015-02-01 05:00:00+00:00,5,1,2,2015
392,2015-01-27 05:00:00+00:00,5,27,1,2015
393,2015-01-29 05:00:00+00:00,5,29,1,2015
394,2015-01-21 05:00:00+00:00,5,21,1,2015
395,2015-01-22 05:00:00+00:00,5,22,1,2015
396,2015-01-23 05:00:00+00:00,5,23,1,2015
397,2015-01-30 05:00:00+00:00,5,30,1,2015
398,2015-02-04 05:00:00+00:00,5,4,2,2015
399,2015-02-07 05:00:00+00:00,5,7,2,2015
400,2015-02-05 05:00:00+00:00,5,5,2,2015
401,2015-02-08 05:00:00+00:00,5,8,2,2015
402,2015-02-11 05:00:00+00:00,5,11,2,2015
403,2015-02-09 05:00:00+00:00,5,9,2,2015
404,2015-02-10 05:00:00+00:00,5,10,2,2015
405,2015-02-02 05:00:00+00:00,5,2,2,2015
406,2015-02-06 05:00:00+00:00,5,6,2,2015
407,2015-02-13 05:00:00+00:00,5,13,2,2015
408,2015-02-03 05:00:00+00:00,5,3,2,2015
409,2015-02-14 05:00:00+00:00,5,14,2,2015
410,2015-02-12 05:00:00+00:00,5,12,2,2015
411,2015-02-22 05:00:00+00:00,5,22,2,2015
412,2015-02-26 05:00:00+00:00,5,26,2,2015
413,2015-02-19 05:00:00+00:00,5,19,2,2015
414,2015-02-27 05:00:00+00:00,5,27,2,2015
415,2015-02-20 05:00:00+00:00,5,20,2,2015
416,2015-02-18 05:00:00+00:00,5,18,2,2015
417,2015-02-23 05:00:00+00:00,5,23,2,2015
418,2015-02-15 05:00:00+00:00,5,15,2,2015
419,2015-02-28 05:00:00+00:00,5,28,2,2015
420,2015-02-25 05:00:00+00:00,5,25,2,2015
421,2015-02-21 05:00:00+00:00,5,21,2,2015
422,2015-02-24 05:00:00+00:00,5,24,2,2015
423,2015-02-17 05:00:00+00:00,5,17,2,2015
424,2015-02-16 05:00:00+00:00,5,16,2,2015
425,2015-03-04 05:00:00+00:00,5,4,3,2015
426,2015-03-10 04:00:00+00:00,4,10,3,2015
427,2015-03-07 05:00:00+00:00,5,7,3,2015
428,2015-03-02 05:00:00+00:00,5,2,3,2015
429,2015-03-03 05:00:00+00:00,5,3,3,2015
430,2015-03-08 05:00:00+00:00,5,8,3,2015
431,2015-03-01 05:00:00+00:00,5,1,3,2015
432,2015-03-06 05:00:00+00:00,5,6,3,2015
433,2015-03-11 04:00:00+00:00,4,11,3,2015
434,2015-03-09 04:00:00+00:00,4,9,3,2015
435,2015-03-05 05:00:00+00:00,5,5,3,2015
436,2015-03-12 04:00:00+00:00,4,12,3,2015
437,2015-03-18 04:00:00+00:00,4,18,3,2015
438,2015-03-13 04:00:00+00:00,4,13,3,2015
439,2015-03-15 04:00:00+00:00,4,15,3,2015
440,2015-03-17 04:00:00+00:00,4,17,3,2015
441,2015-03-23 04:00:00+00:00,4,23,3,2015
442,2015-03-19 04:00:00+00:00,4,19,3,2015
443,2015-03-22 04:00:00+00:00,4,22,3,2015
444,2015-03-21 04:00:00+00:00,4,21,3,2015
445,2015-03-14 04:00:00+00:00,4,14,3,2015
446,2015-03-20 04:00:00+00:00,4,20,3,2015
447,2015-03-16 04:00:00+00:00,4,16,3,2015
448,2015-03-24 04:00:00+00:00,4,24,3,2015
449,2015-04-02 04:00:00+00:00,4,2,4,2015
450,2015-04-03 04:00:00+00:00,4,3,4,2015
451,2015-03-28 04:00:00+00:00,4,28,3,2015
452,2015-03-25 04:00:00+00:00,4,25,3,2015
453,2015-04-01 04:00:00+00:00,4,1,4,2015
454,2015-03-30 04:00:00+00:00,4,30,3,2015
455,2015-03-27 04:00:00+00:00,4,27,3,2015
456,2015-04-05 04:00:00+00:00,4,5,4,2015
457,2015-03-26 04:00:00+00:00,4,26,3,2015
458,2015-03-31 04:00:00+00:00,4,31,3,2015
459,2015-04-06 04:00:00+00:00,4,6,4,2015
460,2015-04-04 04:00:00+00:00,4,4,4,2015
461,2015-03-29 04:00:00+00:00,4,29,3,2015
462,2015-04-14 04:00:00+00:00,4,14,4,2015
463,2015-04-07 04:00:00+00:00,4,7,4,2015
464,2015-04-15 04:00:00+00:00,4,15,4,2015
465,2015-04-16 04:00:00+00:00,4,16,4,2015
466,2015-04-13 04:00:00+00:00,4,13,4,2015
467,2015-04-09 04:00:00+00:00,4,9,4,2015
468,2015-04-12 04:00:00+00:00,4,12,4,2015
469,2015-04-10 04:00:00+00:00,4,10,4,2015
470,2015-04-11 04:00:00+00:00,4,11,4,2015
471,2015-04-08 04:00:00+00:00,4,8,4,2015
472,2015-04-17 04:00:00+00:00,4,17,4,2015
473,2015-04-25 04:00:00+00:00,4,25,4,2015
474,2015-04-19 04:00:00+00:00,4,19,4,2015
475,2015-04-21 04:00:00+00:00,4,21,4,2015
476,2015-04-26 04:00:00+00:00,4,26,4,2015
477,2015-04-20 04:00:00+00:00,4,20,4,2015
478,2015-04-22 04:00:00+00:00,4,22,4,2015
479,2015-04-27 04:00:00+00:00,4,27,4,2015
480,2015-04-24 04:00:00+00:00,4,24,4,2015
481,2015-04-18 04:00:00+00:00,4,18,4,2015
482,2015-04-23 04:00:00+00:00,4,23,4,2015
483,2015-04-28 04:00:00+00:00,4,28,4,2015
484,2015-04-29 04:00:00+00:00,4,29,4,2015
485,2015-04-30 04:00:00+00:00,4,30,4,2015
486,2015-05-05 04:00:00+00:00,4,5,5,2015
487,2015-05-04 04:00:00+00:00,4,4,5,2015
488,2015-05-06 04:00:00+00:00,4,6,5,2015
489,2015-05-01 04:00:00+00:00,4,1,5,2015
490,2015-05-02 04:00:00+00:00,4,2,5,2015
491,2015-05-08 04:00:00+00:00,4,8,5,2015
492,2015-05-03 04:00:00+00:00,4,3,5,2015
493,2015-05-07 04:00:00+00:00,4,7,5,2015
494,2015-05-09 04:00:00+00:00,4,9,5,2015
495,2015-05-15 04:00:00+00:00,4,15,5,2015
496,2015-05-12 04:00:00+00:00,4,12,5,2015
497,2015-05-10 04:00:00+00:00,4,10,5,2015
498,2015-05-19 04:00:00+00:00,4,19,5,2015
499,2015-05-13 04:00:00+00:00,4,13,5,2015
500,2015-05-11 04:00:00+00:00,4,11,5,2015
501,2015-05-18 04:00:00+00:00,4,18,5,2015
502,2015-05-16 04:00:00+00:00,4,16,5,2015
503,2015-05-17 04:00:00+00:00,4,17,5,2015
504,2015-05-14 04:00:00+00:00,4,14,5,2015
505,2015-05-20 04:00:00+00:00,4,20,5,2015
506,2015-05-30 04:00:00+00:00,4,30,5,2015
507,2015-05-23 04:00:00+00:00,4,23,5,2015
508,2015-05-21 04:00:00+00:00,4,21,5,2015
509,2015-05-24 04:00:00+00:00,4,24,5,2015
510,2015-05-25 04:00:00+00:00,4,25,5,2015
511,2015-05-27 04:00:00+00:00,4,27,5,2015
512,2015-05-29 04:00:00+00:00,4,29,5,2015
513,2015-05-28 04:00:00+00:00,4,28,5,2015
514,2015-05-26 04:00:00+00:00,4,26,5,2015
515,2015-05-22 04:00:00+00:00,4,22,5,2015
516,2015-05-31 04:00:00+00:00,4,31,5,2015
517,2015-06-09 04:00:00+00:00,4,9,6,2015
518,2015-06-02 04:00:00+00:00,4,2,6,2015
519,2015-06-05 04:00:00+00:00,4,5,6,2015
520,2015-06-03 04:00:00+00:00,4,3,6,2015
521,2015-06-08 04:00:00+00:00,4,8,6,2015
522,2015-06-01 04:00:00+00:00,4,1,6,2015
523,2015-06-06 04:00:00+00:00,4,6,6,2015
524,2015-06-04 04:00:00+00:00,4,4,6,2015
525,2015-06-07 04:00:00+00:00,4,7,6,2015
526,2015-06-10 04:00:00+00:00,4,10,6,2015
527,2015-06-14 04:00:00+00:00,4,14,6,2015
528,2015-06-17 04:00:00+00:00,4,17,6,2015
529,2015-06-12 04:00:00+00:00,4,12,6,2015
530,2015-06-19 04:00:00+00:00,4,19,6,2015
531,2015-06-15 04:00:00+00:00,4,15,6,2015
532,2015-06-11 04:00:00+00:00,4,11,6,2015
533,2015-06-16 04:00:00+00:00,4,16,6,2015
534,2015-06-13 04:00:00+00:00,4,13,6,2015
535,2015-06-18 04:00:00+00:00,4,18,6,2015
536,2015-06-20 04:00:00+00:00,4,20,6,2015
537,2015-06-21 04:00:00+00:00,4,21,6,2015
538,2015-06-29 04:00:00+00:00,4,29,6,2015
539,2015-06-28 04:00:00+00:00,4,28,6,2015
540,2015-06-26 04:00:00+00:00,4,26,6,2015
541,2015-06-25 04:00:00+00:00,4,25,6,2015
542,2015-06-22 04:00:00+00:00,4,22,6,2015
543,2015-06-30 04:00:00+00:00,4,30,6,2015
544,2015-06-23 04:00:00+00:00,4,23,6,2015
545,2015-06-24 04:00:00+00:00,4,24,6,2015
546,2015-06-27 04:00:00+00:00,4,27,6,2015
547,2015-07-01 04:00:00+00:00,4,1,7,2015
548,2015-07-03 04:00:00+00:00,4,3,7,2015
549,2015-07-04 04:00:00+00:00,4,4,7,2015
550,2015-07-05 04:00:00+00:00,4,5,7,2015
551,2015-07-06 04:00:00+00:00,4,6,7,2015
552,2015-07-08 04:00:00+00:00,4,8,7,2015
553,2015-07-10 04:00:00+00:00,4,10,7,2015
554,2015-07-09 04:00:00+00:00,4,9,7,2015
555,2015-07-07 04:00:00+00:00,4,7,7,2015
556,2015-07-11 04:00:00+00:00,4,11,7,2015
557,2015-07-12 04:00:00+00:00,4,12,7,2015
558,2015-07-02 04:00:00+00:00,4,2,7,2015
559,2015-07-13 04:00:00+00:00,4,13,7,2015
560,2015-07-17 04:00:00+00:00,4,17,7,2015
561,2015-07-16 04:00:00+00:00,4,16,7,2015
562,2015-07-20 04:00:00+00:00,4,20,7,2015
563,2015-07-14 04:00:00+00:00,4,14,7,2015
564,2015-07-18 04:00:00+00:00,4,18,7,2015
565,2015-07-21 04:00:00+00:00,4,21,7,2015
566,2015-07-19 04:00:00+00:00,4,19,7,2015
567,2015-07-15 04:00:00+00:00,4,15,7,2015
568,2015-07-22 04:00:00+00:00,4,22,7,2015
569,2015-07-31 04:00:00+00:00,4,31,7,2015
570,2015-07-25 04:00:00+00:00,4,25,7,2015
571,2015-07-27 04:00:00+00:00,4,27,7,2015
572,2015-07-29 04:00:00+00:00,4,29,7,2015
573,2015-07-26 04:00:00+00:00,4,26,7,2015
574,2015-07-28 04:00:00+00:00,4,28,7,2015
575,2015-07-24 04:00:00+00:00,4,24,7,2015
576,2015-07-23 04:00:00+00:00,4,23,7,2015
577,2015-08-01 04:00:00+00:00,4,1,8,2015
578,2015-07-30 04:00:00+00:00,4,30,7,2015
579,2015-08-02 04:00:00+00:00,4,2,8,2015
580,2015-08-05 04:00:00+00:00,4,5,8,2015
581,2015-08-08 04:00:00+00:00,4,8,8,2015
582,2015-08-10 04:00:00+00:00,4,10,8,2015
583,2015-08-06 04:00:00+00:00,4,6,8,2015
584,2015-08-04 04:00:00+00:00,4,4,8,2015
585,2015-08-07 04:00:00+00:00,4,7,8,2015
586,2015-08-09 04:00:00+00:00,4,9,8,2015
587,2015-08-11 04:00:00+00:00,4,11,8,2015
588,2015-08-03 04:00:00+00:00,4,3,8,2015
589,2015-08-12 04:00:00+00:00,4,12,8,2015
590,2015-08-18 04:00:00+00:00,4,18,8,2015
591,2015-08-13 04:00:00+00:00,4,13,8,2015
592,2015-08-20 04:00:00+00:00,4,20,8,2015
593,2015-08-17 04:00:00+00:00,4,17,8,2015
594,2015-08-19 04:00:00+00:00,4,19,8,2015
595,2015-08-21 04:00:00+00:00,4,21,8,2015
596,2015-08-16 04:00:00+00:00,4,16,8,2015
597,2015-08-15 04:00:00+00:00,4,15,8,2015
598,2015-08-14 04:00:00+00:00,4,14,8,2015
599,2015-08-22 04:00:00+00:00,4,22,8,2015
600,2015-08-31 04:00:00+00:00,4,31,8,2015
601,2015-08-28 04:00:00+00:00,4,28,8,2015
602,2015-09-01 04:00:00+00:00,4,1,9,2015
603,2015-08-30 04:00:00+00:00,4,30,8,2015
604,2015-08-23 04:00:00+00:00,4,23,8,2015
605,2015-08-29 04:00:00+00:00,4,29,8,2015
606,2015-08-24 04:00:00+00:00,4,24,8,2015
607,2015-08-25 04:00:00+00:00,4,25,8,2015
608,2015-08-27 04:00:00+00:00,4,27,8,2015
609,2015-08-26 04:00:00+00:00,4,26,8,2015
610,2015-09-02 04:00:00+00:00,4,2,9,2015
611,2015-09-08 04:00:00+00:00,4,8,9,2015
612,2015-09-11 04:00:00+00:00,4,11,9,2015
613,2015-09-10 04:00:00+00:00,4,10,9,2015
614,2015-09-03 04:00:00+00:00,4,3,9,2015
615,2015-09-06 04:00:00+00:00,4,6,9,2015
616,2015-09-12 04:00:00+00:00,4,12,9,2015
617,2015-09-04 04:00:00+00:00,4,4,9,2015
618,2015-09-05 04:00:00+00:00,4,5,9,2015
619,2015-09-09 04:00:00+00:00,4,9,9,2015
620,2015-09-07 04:00:00+00:00,4,7,9,2015
621,2015-09-13 04:00:00+00:00,4,13,9,2015
622,2015-09-15 04:00:00+00:00,4,15,9,2015
623,2015-09-20 04:00:00+00:00,4,20,9,2015
624,2015-09-19 04:00:00+00:00,4,19,9,2015
625,2015-09-22 04:00:00+00:00,4,22,9,2015
626,2015-09-16 04:00:00+00:00,4,16,9,2015
627,2015-09-23 04:00:00+00:00,4,23,9,2015
628,2015-09-14 04:00:00+00:00,4,14,9,2015
629,2015-09-21 04:00:00+00:00,4,21,9,2015
630,2015-09-18 04:00:00+00:00,4,18,9,2015
631,2015-09-17 04:00:00+00:00,4,17,9,2015
632,2015-09-24 04:00:00+00:00,4,24,9,2015
633,2015-09-26 04:00:00+00:00,4,26,9,2015
634,2015-09-29 04:00:00+00:00,4,29,9,2015
635,2015-09-25 04:00:00+00:00,4,25,9,2015
636,2015-09-27 04:00:00+00:00,4,27,9,2015
637,2015-09-28 04:00:00+00:00,4,28,9,2015
638,2015-10-02 04:00:00+00:00,4,2,10,2015
639,2015-10-01 04:00:00+00:00,4,1,10,2015
640,2015-09-30 04:00:00+00:00,4,30,9,2015
641,2015-10-03 04:00:00+00:00,4,3,10,2015
642,2015-10-04 04:00:00+00:00,4,4,10,2015
643,2015-10-05 04:00:00+00:00,4,5,10,2015
644,2015-10-06 04:00:00+00:00,4,6,10,2015
645,2015-10-13 04:00:00+00:00,4,13,10,2015
646,2015-10-11 04:00:00+00:00,4,11,10,2015
647,2015-10-09 04:00:00+00:00,4,9,10,2015
648,2015-10-10 04:00:00+00:00,4,10,10,2015
649,2015-10-08 04:00:00+00:00,4,8,10,2015
650,2015-10-12 04:00:00+00:00,4,12,10,2015
651,2015-10-07 04:00:00+00:00,4,7,10,2015
652,2015-10-14 04:00:00+00:00,4,14,10,2015
653,2015-10-16 04:00:00+00:00,4,16,10,2015
654,2015-10-20 04:00:00+00:00,4,20,10,2015
655,2015-10-15 04:00:00+00:00,4,15,10,2015
656,2015-10-22 04:00:00+00:00,4,22,10,2015
657,2015-10-21 04:00:00+00:00,4,21,10,2015
658,2015-10-17 04:00:00+00:00,4,17,10,2015
659,2015-10-23 04:00:00+00:00,4,23,10,2015
660,2015-10-18 04:00:00+00:00,4,18,10,2015
661,2015-10-19 04:00:00+00:00,4,19,10,2015
662,2015-10-24 04:00:00+00:00,4,24,10,2015
663,2015-10-25 04:00:00+00:00,4,25,10,2015
664,2015-11-01 04:00:00+00:00,4,1,11,2015
665,2015-10-28 04:00:00+00:00,4,28,10,2015
666,2015-11-02 05:00:00+00:00,5,2,11,2015
667,2015-10-26 04:00:00+00:00,4,26,10,2015
668,2015-10-29 04:00:00+00:00,4,29,10,2015
669,2015-10-30 04:00:00+00:00,4,30,10,2015
670,2015-10-31 04:00:00+00:00,4,31,10,2015
671,2015-10-27 04:00:00+00:00,4,27,10,2015
672,2015-11-03 05:00:00+00:00,5,3,11,2015
673,2015-11-05 05:00:00+00:00,5,5,11,2015
674,2015-11-06 05:00:00+00:00,5,6,11,2015
675,2015-11-07 05:00:00+00:00,5,7,11,2015
676,2015-11-09 05:00:00+00:00,5,9,11,2015
677,2015-11-04 05:00:00+00:00,5,4,11,2015
678,2015-11-11 05:00:00+00:00,5,11,11,2015
679,2015-11-12 05:00:00+00:00,5,12,11,2015
680,2015-11-10 05:00:00+00:00,5,10,11,2015
681,2015-11-08 05:00:00+00:00,5,8,11,2015
682,2015-11-13 05:00:00+00:00,5,13,11,2015
683,2015-11-15 05:00:00+00:00,5,15,11,2015
684,2015-11-19 05:00:00+00:00,5,19,11,2015
685,2015-11-21 05:00:00+00:00,5,21,11,2015
686,2015-11-16 05:00:00+00:00,5,16,11,2015
687,2015-11-22 05:00:00+00:00,5,22,11,2015
688,2015-11-18 05:00:00+00:00,5,18,11,2015
689,2015-11-14 05:00:00+00:00,5,14,11,2015
690,2015-11-20 05:00:00+00:00,5,20,11,2015
691,2015-11-17 05:00:00+00:00,5,17,11,2015
692,2015-11-23 05:00:00+00:00,5,23,11,2015
693,2015-11-27 05:00:00+00:00,5,27,11,2015
694,2015-11-29 05:00:00+00:00,5,29,11,2015
695,2015-11-28 05:00:00+00:00,5,28,11,2015
696,2015-11-25 05:00:00+00:00,5,25,11,2015
697,2015-12-03 05:00:00+00:00,5,3,12,2015
698,2015-11-30 05:00:00+00:00,5,30,11,2015
699,2015-11-26 05:00:00+00:00,5,26,11,2015
700,2015-12-04 05:00:00+00:00,5,4,12,2015
701,2015-11-24 05:00:00+00:00,5,24,11,2015
702,2015-12-01 05:00:00+00:00,5,1,12,2015
703,2015-12-02 05:00:00+00:00,5,2,12,2015
704,2015-12-05 05:00:00+00:00,5,5,12,2015
705,2015-12-06 05:00:00+00:00,5,6,12,2015
706,2015-12-13 05:00:00+00:00,5,13,12,2015
707,2015-12-08 05:00:00+00:00,5,8,12,2015
708,2015-12-07 05:00:00+00:00,5,7,12,2015
709,2015-12-14 05:00:00+00:00,5,14,12,2015
710,2015-12-10 05:00:00+00:00,5,10,12,2015
711,2015-12-12 05:00:00+00:00,5,12,12,2015
712,2015-12-11 05:00:00+00:00,5,11,12,2015
713,2015-12-09 05:00:00+00:00,5,9,12,2015
714,2015-12-15 05:00:00+00:00,5,15,12,2015
715,2015-12-16 05:00:00+00:00,5,16,12,2015
716,2015-12-26 05:00:00+00:00,5,26,12,2015
717,2015-12-22 05:00:00+00:00,5,22,12,2015
718,2015-12-24 05:00:00+00:00,5,24,12,2015
719,2015-12-18 05:00:00+00:00,5,18,12,2015
720,2015-12-21 05:00:00+00:00,5,21,12,2015
721,2015-12-19 05:00:00+00:00,5,19,12,2015
722,2015-12-17 05:00:00+00:00,5,17,12,2015
723,2015-12-23 05:00:00+00:00,5,23,12,2015
724,2015-12-25 05:00:00+00:00,5,25,12,2015
725,2015-12-20 05:00:00+00:00,5,20,12,2015
726,2015-12-27 05:00:00+00:00,5,27,12,2015
727,2016-01-06 05:00:00+00:00,5,6,1,2016
728,2016-01-01 05:00:00+00:00,5,1,1,2016
729,2015-12-31 05:00:00+00:00,5,31,12,2015
730,2015-12-28 05:00:00+00:00,5,28,12,2015
731,2016-01-02 05:00:00+00:00,5,2,1,2016
732,2016-01-03 05:00:00+00:00,5,3,1,2016
733,2015-12-29 05:00:00+00:00,5,29,12,2015
734,2016-01-05 05:00:00+00:00,5,5,1,2016
735,2016-01-07 05:00:00+00:00,5,7,1,2016
736,2015-12-30 05:00:00+00:00,5,30,12,2015
737,2016-01-04 05:00:00+00:00,5,4,1,2016
738,2016-01-08 05:00:00+00:00,5,8,1,2016
739,2016-01-18 05:00:00+00:00,5,18,1,2016
740,2016-01-10 05:00:00+00:00,5,10,1,2016
741,2016-01-15 05:00:00+00:00,5,15,1,2016
742,2016-01-11 05:00:00+00:00,5,11,1,2016
743,2016-01-14 05:00:00+00:00,5,14,1,2016
744,2016-01-19 05:00:00+00:00,5,19,1,2016
745,2016-01-17 05:00:00+00:00,5,17,1,2016
746,2016-01-13 05:00:00+00:00,5,13,1,2016
747,2016-01-12 05:00:00+00:00,5,12,1,2016
748,2016-01-16 05:00:00+00:00,5,16,1,2016
749,2016-01-09 05:00:00+00:00,5,9,1,2016
750,2016-01-20 05:00:00+00:00,5,20,1,2016
751,2016-01-26 05:00:00+00:00,5,26,1,2016
752,2016-01-27 05:00:00+00:00,5,27,1,2016
753,2016-01-21 05:00:00+00:00,5,21,1,2016
754,2016-01-28 05:00:00+00:00,5,28,1,2016
755,2016-01-30 05:00:00+00:00,5,30,1,2016
756,2016-01-29 05:00:00+00:00,5,29,1,2016
757,2016-01-25 05:00:00+00:00,5,25,1,2016
758,2016-01-22 05:00:00+00:00,5,22,1,2016
759,2016-01-23 05:00:00+00:00,5,23,1,2016
760,2016-01-24 05:00:00+00:00,5,24,1,2016
761,2016-01-31 05:00:00+00:00,5,31,1,2016
762,2016-02-11 05:00:00+00:00,5,11,2,2016
763,2016-02-12 05:00:00+00:00,5,12,2,2016
764,2016-02-04 05:00:00+00:00,5,4,2,2016
765,2016-02-01 05:00:00+00:00,5,1,2,2016
766,2016-02-05 05:00:00+00:00,5,5,2,2016
767,2016-02-08 05:00:00+00:00,5,8,2,2016
768,2016-02-09 05:00:00+00:00,5,9,2,2016
769,2016-02-06 05:00:00+00:00,5,6,2,2016
770,2016-02-02 05:00:00+00:00,5,2,2,2016
771,2016-02-07 05:00:00+00:00,5,7,2,2016
772,2016-02-03 05:00:00+00:00,5,3,2,2016
773,2016-02-10 05:00:00+00:00,5,10,2,2016
774,2016-02-18 05:00:00+00:00,5,18,2,2016
775,2016-02-16 05:00:00+00:00,5,16,2,2016
776,2016-02-20 05:00:00+00:00,5,20,2,2016
777,2016-02-14 05:00:00+00:00,5,14,2,2016
778,2016-02-22 05:00:00+00:00,5,22,2,2016
779,2016-02-21 05:00:00+00:00,5,21,2,2016
780,2016-02-19 05:00:00+00:00,5,19,2,2016
781,2016-02-15 05:00:00+00:00,5,15,2,2016
782,2016-02-17 05:00:00+00:00,5,17,2,2016
783,2016-02-23 05:00:00+00:00,5,23,2,2016
784,2016-02-13 05:00:00+00:00,5,13,2,2016
785,2016-02-25 05:00:00+00:00,5,25,2,2016
786,2016-02-24 05:00:00+00:00,5,24,2,2016
787,2016-02-26 05:00:00+00:00,5,26,2,2016
788,2016-03-02 05:00:00+00:00,5,2,3,2016
789,2016-02-28 05:00:00+00:00,5,28,2,2016
790,2016-03-01 05:00:00+00:00,5,1,3,2016
791,2016-03-03 05:00:00+00:00,5,3,3,2016
792,2016-03-04 05:00:00+00:00,5,4,3,2016
793,2016-03-05 05:00:00+00:00,5,5,3,2016
794,2016-02-27 05:00:00+00:00,5,27,2,2016
795,2016-03-06 05:00:00+00:00,5,6,3,2016
796,2016-02-29 05:00:00+00:00,5,29,2,2016
797,2016-03-13 05:00:00+00:00,5,13,3,2016
798,2016-03-14 04:00:00+00:00,4,14,3,2016
799,2016-03-10 05:00:00+00:00,5,10,3,2016
800,2016-03-12 05:00:00+00:00,5,12,3,2016
801,2016-03-16 04:00:00+00:00,4,16,3,2016
802,2016-03-08 05:00:00+00:00,5,8,3,2016
803,2016-03-09 05:00:00+00:00,5,9,3,2016
804,2016-03-11 05:00:00+00:00,5,11,3,2016
805,2016-03-07 05:00:00+00:00,5,7,3,2016
806,2016-03-17 04:00:00+00:00,4,17,3,2016
807,2016-03-15 04:00:00+00:00,4,15,3,2016
808,2016-03-26 04:00:00+00:00,4,26,3,2016
809,2016-03-24 04:00:00+00:00,4,24,3,2016
810,2016-03-25 04:00:00+00:00,4,25,3,2016
811,2016-03-19 04:00:00+00:00,4,19,3,2016
812,2016-03-23 04:00:00+00:00,4,23,3,2016
813,2016-03-22 04:00:00+00:00,4,22,3,2016
814,2016-03-27 04:00:00+00:00,4,27,3,2016
815,2016-03-21 04:00:00+00:00,4,21,3,2016
816,2016-03-18 04:00:00+00:00,4,18,3,2016
817,2016-03-20 04:00:00+00:00,4,20,3,2016
818,2016-03-28 04:00:00+00:00,4,28,3,2016
819,2016-03-29 04:00:00+00:00,4,29,3,2016
820,2016-04-07 04:00:00+00:00,4,7,4,2016
821,2016-04-04 04:00:00+00:00,4,4,4,2016
822,2016-04-02 04:00:00+00:00,4,2,4,2016
823,2016-03-30 04:00:00+00:00,4,30,3,2016
824,2016-03-31 04:00:00+00:00,4,31,3,2016
825,2016-04-01 04:00:00+00:00,4,1,4,2016
826,2016-04-06 04:00:00+00:00,4,6,4,2016
827,2016-04-03 04:00:00+00:00,4,3,4,2016
828,2016-04-08 04:00:00+00:00,4,8,4,2016
829,2016-04-09 04:00:00+00:00,4,9,4,2016
830,2016-04-05 04:00:00+00:00,4,5,4,2016
831,2016-04-11 04:00:00+00:00,4,11,4,2016
832,2016-04-12 04:00:00+00:00,4,12,4,2016
833,2016-04-14 04:00:00+00:00,4,14,4,2016
834,2016-04-16 04:00:00+00:00,4,16,4,2016
835,2016-04-17 04:00:00+00:00,4,17,4,2016
836,2016-04-10 04:00:00+00:00,4,10,4,2016
837,2016-04-18 04:00:00+00:00,4,18,4,2016
838,2016-04-19 04:00:00+00:00,4,19,4,2016
839,2016-04-15 04:00:00+00:00,4,15,4,2016
840,2016-04-13 04:00:00+00:00,4,13,4,2016
841,2016-04-20 04:00:00+00:00,4,20,4,2016
842,2016-04-23 04:00:00+00:00,4,23,4,2016
843,2016-04-27 04:00:00+00:00,4,27,4,2016
844,2016-04-28 04:00:00+00:00,4,28,4,2016
845,2016-04-21 04:00:00+00:00,4,21,4,2016
846,2016-04-24 04:00:00+00:00,4,24,4,2016
847,2016-04-29 04:00:00+00:00,4,29,4,2016
848,2016-04-26 04:00:00+00:00,4,26,4,2016
849,2016-04-22 04:00:00+00:00,4,22,4,2016
850,2016-04-25 04:00:00+00:00,4,25,4,2016
851,2016-04-30 04:00:00+00:00,4,30,4,2016
852,2016-05-07 04:00:00+00:00,4,7,5,2016
853,2016-05-09 04:00:00+00:00,4,9,5,2016
854,2016-05-08 04:00:00+00:00,4,8,5,2016
855,2016-05-03 04:00:00+00:00,4,3,5,2016
856,2016-05-06 04:00:00+00:00,4,6,5,2016
857,2016-05-10 04:00:00+00:00,4,10,5,2016
858,2016-05-02 04:00:00+00:00,4,2,5,2016
859,2016-05-01 04:00:00+00:00,4,1,5,2016
860,2016-05-04 04:00:00+00:00,4,4,5,2016
861,2016-05-05 04:00:00+00:00,4,5,5,2016
862,2016-05-11 04:00:00+00:00,4,11,5,2016
863,2016-05-19 04:00:00+00:00,4,19,5,2016
864,2016-05-18 04:00:00+00:00,4,18,5,2016
865,2016-05-14 04:00:00+00:00,4,14,5,2016
866,2016-05-13 04:00:00+00:00,4,13,5,2016
867,2016-05-20 04:00:00+00:00,4,20,5,2016
868,2016-05-17 04:00:00+00:00,4,17,5,2016
869,2016-05-16 04:00:00+00:00,4,16,5,2016
870,2016-05-12 04:00:00+00:00,4,12,5,2016
871,2016-05-21 04:00:00+00:00,4,21,5,2016
872,2016-05-22 04:00:00+00:00,4,22,5,2016
873,2016-05-15 04:00:00+00:00,4,15,5,2016
874,2016-05-24 04:00:00+00:00,4,24,5,2016
875,2016-05-30 04:00:00+00:00,4,30,5,2016
876,2016-06-01 04:00:00+00:00,4,1,6,2016
877,2016-05-25 04:00:00+00:00,4,25,5,2016
878,2016-05-29 04:00:00+00:00,4,29,5,2016
